ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
102/04/26,"36,776,724","3,975,714,992",107.00,109.00,107.00,108.50,+1.50,"11,735"
102/04/29,"21,092,377","2,279,129,984",108.50,108.50,107.50,108.00,-0.50,"6,502"
102/04/30,"34,612,725","3,772,841,445",108.50,109.50,108.50,109.50,+1.50,"10,732"
102/05/02,"38,796,887","4,272,592,070",110.00,111.00,109.00,110.50,+1.00,"10,471"
102/05/03,"36,621,737","4,072,080,617",111.50,112.50,110.00,110.00,-0.50,"9,832"
102/05/06,"19,393,798","2,156,914,078",111.50,111.50,110.50,111.50,+1.50,"6,706"
102/05/07,"22,448,180","2,521,248,290",112.00,113.00,111.00,112.50,+1.00,"7,353"
102/05/08,"42,509,709","4,842,348,356",112.50,115.00,112.50,114.50,+2.00,"11,870"
102/05/09,"27,606,177","3,186,565,567",116.00,116.00,114.50,115.00,+0.50,"9,101"
102/05/10,"27,536,736","3,146,083,904",115.00,115.00,113.50,114.50,-0.50,"7,521"
102/05/13,"18,263,266","2,094,696,397",115.00,115.50,114.00,114.50, 0.00,"3,993"
102/05/14,"27,855,127","3,224,146,605",115.50,116.50,115.00,115.50,+1.00,"7,881"
102/05/15,"29,107,560","3,338,273,993",115.00,116.00,113.50,115.00,-0.50,"6,849"
102/05/16,"45,770,439","5,227,824,787",115.00,116.00,113.00,113.50,-1.50,"10,033"
102/05/17,"19,316,452","2,177,150,076",112.00,113.50,111.50,113.50, 0.00,"6,145"
102/05/20,"16,882,054","1,911,454,937",112.50,114.00,112.50,114.00,+0.50,"4,897"
102/05/21,"17,238,193","1,941,365,116",113.00,113.50,112.00,112.50,-1.50,"5,038"
102/05/22,"34,068,421","3,821,447,086",112.50,113.50,111.00,112.00,-0.50,"8,462"
102/05/23,"46,874,809","5,132,481,372",110.50,111.50,108.00,108.00,-4.00,"12,254"
102/05/24,"26,736,102","2,929,037,118",109.50,110.50,108.50,109.50,+1.50,"7,786"
102/05/27,"19,161,396","2,129,098,594",109.50,112.00,109.50,112.00,+2.50,"6,339"
102/05/28,"22,762,131","2,520,915,219",112.00,112.50,109.50,109.50,-2.50,"5,944"
102/05/29,"16,781,832","1,865,802,389",110.50,112.00,110.50,111.00,+1.50,"4,809"
102/05/30,"36,121,568","3,987,922,980",111.00,111.50,109.50,110.00,-1.00,"6,534"
102/05/31,"37,205,933","4,086,301,119",111.50,111.50,109.00,109.50,-0.50,"7,620"
102/06/03,"35,834,419","3,858,216,000",108.00,108.50,106.50,107.50,-2.00,"9,111"
102/06/04,"27,476,915","2,987,301,735",109.00,110.00,107.50,109.00,+1.50,"6,964"
102/06/05,"25,581,235","2,802,975,365",109.50,110.50,108.50,109.50,+0.50,"4,331"
102/06/06,"34,251,239","3,696,663,148",108.50,109.50,107.00,107.50,-2.00,"8,225"
102/06/07,"33,085,685","3,599,966,794",108.00,109.50,108.00,108.50,+1.00,"9,288"
102/06/10,"21,941,087","2,389,739,825",110.00,110.00,108.00,108.50, 0.00,"5,544"
102/06/11,"37,162,875","4,039,110,540",110.00,110.00,108.00,108.00,-0.50,"7,971"
102/06/13,"61,059,253","6,426,059,165",106.00,107.00,104.00,104.50,-3.50,"15,038"
102/06/14,"41,207,256","4,344,673,136",105.00,106.00,104.50,106.00,+1.50,"8,686"
102/06/17,"23,014,898","2,427,943,688",105.50,106.00,105.00,106.00, 0.00,"7,015"
102/06/18,"31,676,097","3,345,414,299",105.00,106.50,104.50,106.50,+0.50,"6,753"
102/06/19,"22,084,611","2,334,582,437",106.00,106.50,105.00,105.50,-1.00,"5,112"
102/06/20,"29,998,376","3,129,908,604",105.00,105.50,103.50,104.00,-1.50,"8,257"
102/06/21,"39,844,187","4,087,505,319",102.00,103.50,101.50,103.50,-0.50,"8,632"
102/06/24,"54,091,378","5,489,104,333",102.50,102.50,100.00,101.00,-2.50,"12,255"
102/06/25,"33,897,665","3,438,163,165",101.00,103.00,101.00,101.00, 0.00,"8,672"
102/06/26,"55,865,189","5,734,087,278",103.00,104.00,101.50,101.50,+0.50,"12,682"
102/06/27,"46,982,476","4,874,831,619",103.00,105.00,103.00,104.50,+3.00,"12,441"
102/06/28,"74,514,857","8,058,161,932",106.00,111.00,105.00,111.00,+6.50,"15,111"
102/07/01,"51,935,015","5,643,988,850",109.00,109.50,108.00,108.00,-3.00,"14,947"
102/07/02,"44,982,283","4,926,391,907",109.00,110.00,108.50,110.00,+2.00,"12,114"
102/07/03,"44,740,088","4,763,771,416",107.00,107.00,105.50,107.00,X0.00,"11,083"
102/07/04,"24,500,705","2,612,823,435",106.50,107.00,106.00,107.00, 0.00,"7,185"
102/07/05,"28,276,621","3,076,586,844",107.50,109.50,107.00,109.00,+2.00,"8,054"
102/07/08,"32,770,668","3,465,016,640",107.00,108.00,104.50,105.00,-4.00,"8,927"
102/07/09,"35,511,970","3,723,458,270",104.50,106.50,103.50,106.00,+1.00,"7,985"
102/07/10,"22,082,402","2,339,157,112",104.50,107.00,104.50,106.00, 0.00,"6,180"
102/07/11,"56,918,428","6,191,867,732",107.50,109.50,107.50,109.50,+3.50,"13,597"
102/07/12,"31,046,000","3,400,554,500",109.50,110.00,108.50,110.00,+0.50,"8,347"
102/07/15,"33,373,340","3,638,316,428",108.50,109.50,108.00,109.50,-0.50,"7,527"
102/07/16,"35,961,041","3,873,701,928",108.50,109.00,107.00,108.00,-1.50,"7,121"
102/07/17,"40,121,705","4,346,512,130",108.00,109.00,107.00,109.00,+1.00,"7,538"
102/07/18,"53,223,397","5,664,708,225",107.50,108.00,105.50,105.50,-3.50,"10,862"
102/07/19,"123,330,486","12,202,689,402",99.40,99.70,98.20,98.20,-7.30,"33,783"
102/07/22,"88,048,437","8,606,772,405",98.00,98.40,96.90,97.00,-1.20,"23,948"
102/07/23,"85,595,131","8,570,434,000",98.50,101.50,98.50,100.00,+3.00,"20,652"
102/07/24,"58,355,933","5,938,843,166",100.50,103.00,100.00,102.00,+2.00,"13,201"
102/07/25,"37,559,307","3,849,460,654",102.00,103.50,101.00,102.50,+0.50,"9,555"
102/07/26,"31,817,666","3,249,114,932",103.00,103.00,101.00,102.50, 0.00,"7,680"
102/07/29,"38,334,123","3,858,681,300",100.00,101.50,100.00,100.00,-2.50,"9,559"
102/07/30,"33,871,602","3,442,691,070",100.50,102.50,100.50,102.00,+2.00,"8,756"
102/07/31,"36,997,795","3,780,910,590",101.50,103.00,101.00,102.50,+0.50,"7,128"
102/08/01,"32,509,794","3,285,635,040",102.00,102.00,100.00,100.50,-2.00,"7,756"
102/08/02,"28,039,940","2,845,200,929",102.50,103.00,100.00,100.50, 0.00,"7,866"
102/08/05,"23,372,612","2,349,053,712",100.00,101.50,99.90,100.50, 0.00,"6,400"
102/08/06,"42,787,275","4,242,132,263",100.50,100.50,98.60,98.80,-1.70,"13,012"
102/08/07,"45,969,616","4,484,924,070",98.50,98.50,97.00,97.00,-1.80,"15,082"
102/08/08,"55,873,275","5,383,171,749",96.00,97.10,95.30,96.40,-0.60,"14,412"
102/08/09,"47,192,333","4,585,250,023",100.00,100.00,96.40,96.40, 0.00,"13,162"
102/08/12,"33,454,945","3,215,945,925",96.40,96.70,95.60,96.00,-0.40,"10,395"
102/08/13,"34,392,082","3,332,838,031",96.00,97.40,96.00,97.20,+1.20,"9,192"
102/08/14,"44,023,158","4,245,439,666",96.00,97.30,95.80,96.80,-0.40,"9,471"
102/08/15,"42,687,594","4,096,103,714",96.40,96.40,95.30,96.00,-0.80,"13,251"
102/08/16,"37,698,875","3,632,993,006",95.40,97.50,95.20,96.50,+0.50,"11,061"
102/08/19,"52,061,061","4,975,788,608",95.50,96.10,95.30,95.50,-1.00,"11,661"
102/08/20,"42,471,292","4,029,465,558",95.20,95.40,94.40,94.40,-1.10,"13,924"
102/08/22,"60,311,712","5,666,452,853",93.00,94.90,92.90,94.50,+0.10,"15,238"
102/08/23,"44,454,018","4,301,442,889",95.70,97.30,95.50,97.00,+2.50,"12,547"
102/08/26,"18,698,683","1,810,213,458",97.60,97.60,96.10,96.80,-0.20,"6,745"
102/08/27,"24,474,640","2,352,807,871",96.00,96.80,95.60,95.60,-1.20,"7,827"
102/08/28,"35,977,333","3,476,155,213",95.60,97.30,95.10,96.80,+1.20,"10,927"
102/08/29,"52,396,628","5,026,886,622",96.90,98.90,96.90,98.70,+1.90,"11,284"
102/08/30,"38,965,628","3,890,537,600",99.60,100.50,98.80,100.50,+1.80,"11,441"
102/09/02,"30,859,517","3,120,032,522",100.00,102.00,99.60,102.00,+1.50,"10,416"
102/09/03,"33,838,396","3,462,383,175",103.00,103.00,101.50,102.00, 0.00,"10,651"
